generation,stra.1,stra.15,stra.71,stra.138,stra.195,stra.197,stra.229,stra.233,stra.237,stra.257
535200,0,0,0,1.20E-138,0,0,0,4.94066e-324,3.01E-07,0.982036
535300,0,0,0,1.02E-175,0,0,1.99E-38,4.94066e-324,1.99E-07,0.983312
535400,0,0,0,8.61E-213,0,0,3.72E-76,4.94066e-324,1.33E-07,0.983679
535500,0,0,0,7.16E-250,0,0,6.74E-114,4.94066e-324,8.86E-08,0.984362
535600,0,0,0,5.67E-287,0,0,1.21E-151,4.94066e-324,5.94E-08,0.983895
535700,0,0,0,4.94066e-324,0,0,2.44E-189,4.94066e-324,4.04E-08,0.983782
535800,0,0,0,0,0,0,4.92E-227,4.94066e-324,2.75E-08,0.983485
535900,0,0,0,0,0,0,8.60E-265,4.94066e-324,1.83E-08,0.984135
536000,0,0,0,0,0,0,1.51E-302,4.94066e-324,1.24E-08,0.985616
536100,0,0,0,0,0,0,0,1.25E-15,8.39E-09,0.984933
536200,0,0,2.65E-19,0,0,0,0,1.81E-35,0.000713438,0.982155
536300,0,0,3.86E-65,0,0,0,0,2.57E-55,0.000484243,0.983568
536400,0,0,6.25E-47,0,0,0,0,3.54E-75,0.000319957,0.984728
536500,0,0,5.24E-93,0,0,0,0,4.99E-95,0.000214632,0.985404
536600,0,0,3.35E-139,0,0,0,0,6.95E-115,0.000142522,0.985801
536700,0,0,1.66E-185,0,0,0,0,9.57E-135,9.26E-05,0.986595
536800,0,0,9.31E-232,0,0,0,0,1.40E-154,6.26E-05,0.986226
536900,0,0,6.11E-278,0,0,0,0,2.10E-174,4.32E-05,0.986476
537000,0,0,4.94066e-324,0,0,0,0,3.13E-194,2.98E-05,0.984143
537100,0,0,0,0,0,0,0,4.59E-214,2.05E-05,0.984775
537200,0,0,0,0,0,0,0,6.90E-234,1.42E-05,0.986088
537300,0,0,0,0,0,0,0,0.000633044,9.75E-06,0.981176
537400,0,0,0,0,0,0,0,9.06E-24,6.76E-06,0.982162
537500,0,0,0,0,0,0,0,1.26E-43,4.55E-06,0.982784
537600,0,0,0,0,0,0,0,1.78E-63,3.04E-06,0.982657
537700,0,0,0,0,0,0,0,2.54E-83,2.07E-06,0.981062
537800,0,0,0,0,0,0,0,3.53E-103,1.38E-06,0.980998
537900,0,0,0,0,0,0,0,4.85E-123,9.14E-07,0.982689
538000,6.90E-104,0,1.00E-20,0,0,0,0,6.48E-143,5.84E-07,0.984224
538100,1.42E-299,0,9.10E-67,0,0,0,0,8.96E-163,3.88E-07,0.985775
538200,0,0,6.57E-113,0,0,0,0,1.26E-182,2.62E-07,0.986799
538300,2.81E-108,0,3.87E-159,0,0,0,0,1.80E-202,1.77E-07,0.985955
538400,4.33E-306,1.02E-25,2.79E-205,0,0,0,0,5.50E-22,1.17E-07,0.986047
538500,0,1.18E-63,1.83E-251,0,0,3.40E-201,0,7.95E-42,7.90E-08,0.986757
538600,0,1.50E-101,1.41E-297,0,0,1.50E-47,0,1.16E-61,5.40E-08,0.986422
538700,0,1.82E-139,0,5.90E-06,0,0,0,1.72E-81,3.72E-08,0.987341
538800,0,2.09E-177,0,4.08E-43,0,0,0,2.59E-101,0.000929456,0.985539
538900,0,2.48E-215,0,3.09E-80,0,0,0,4.02E-121,0.000652101,0.986826
539000,0,2.96E-253,0,2.28E-117,0,2.06E-221,0,6.34E-141,0.000457578,0.987111
