generation,ave_CoopeRate
0,0.500000014
1,0.485216952
2,0.475337223
3,0.468810554
4,0.464531464
5,0.461727082
6,0.459852224
7,0.458450411
8,0.457190431
9,0.456171126
10,0.454514978
11,0.452498389
12,0.450065394
13,0.447205688
14,0.443955371
15,0.440400374
16,0.436681781
17,0.433001625
18,0.429626925
19,0.426894549
20,0.42518549
21,0.424895438
22,0.425947434
23,0.430008696
24,0.435694112
25,0.44395878
26,0.454491136
27,0.466857143
28,0.480488133
29,0.494583471
30,0.508563132
31,0.521851115
32,0.53405549
33,0.544972941
34,0.554551231
35,0.56294257
36,0.570354533
37,0.576997335
38,0.583053651
39,0.588666611
40,0.593939249
41,0.598939727
42,0.603708561
43,0.608265828
44,0.612617432
45,0.616168377
46,0.620177602
47,0.623947032
48,0.627466655
49,0.630727257
50,0.633721235
51,0.636443084
52,0.638889649
53,0.641060236
54,0.64295662
55,0.644582992
56,0.645945868
57,0.64681244
58,0.647790545
59,0.648309844
60,0.648844327
61,0.649121671
62,0.648799074
63,0.648912332
64,0.648727539
65,0.64801128
66,0.647799239
67,0.647214915
68,0.646506745
69,0.645724932
70,0.64488955
71,0.644014808
72,0.643112761
73,0.642193942
74,0.641267522
75,0.640341389
76,0.639422232
77,0.638515631
78,0.637626152
79,0.636757449
80,0.635912367
81,0.63509304
82,0.634300985
83,0.633537191
84,0.6328022
85,0.63209618
86,0.631418987
87,0.63077023
88,0.630149312
89,0.629555478
90,0.628987853
91,0.628445468
92,0.627927291
93,0.627432246
94,0.626959231
95,0.626507132
96,0.626074833
97,0.625661228
98,0.625265224
99,0.624885745
100,0.624521738
101,0.624172171
102,0.623836034
103,0.623594098
104,0.62325402
105,0.622937521
106,0.622637108
107,0.622348609
108,0.621703065
109,0.621529536
110,0.621137585
111,0.620979823
112,0.620866844
113,0.620375523
114,0.620264868
115,0.620097852
116,0.619897667
117,0.619676292
118,0.619439858
119,0.619202274
120,0.618979463
121,0.61871914
122,0.618435604
123,0.618133178
124,0.617811891
125,0.61746976
126,0.617103697
127,0.616212224
128,0.616048776
129,0.615715464
130,0.615272902
131,0.614490696
132,0.614088403
133,0.613465057
134,0.612724293
135,0.611884975
136,0.610942784
137,0.609885977
138,0.608699403
139,0.607365439
140,0.605864108
141,0.604172959
142,0.602266883
143,0.60011791
144,0.597695027
145,0.594964032
146,0.591887462
147,0.58842464
148,0.584531908
149,0.58016313
150,0.575270597
151,0.569806485
152,0.563725101
153,0.556986134
154,0.549559205
155,0.541429935
156,0.532607582
157,0.523133955
158,0.513092633
159,0.502616598
160,0.491891303
161,0.481149605
162,0.470655692
163,0.460703271
164,0.45164101
165,0.443591422
166,0.436598043
167,0.430637571
168,0.425640065
169,0.421509699
170,0.418141147
171,0.415430002
172,0.413278032
173,0.411595025
174,0.410191802
175,0.409272928
176,0.408564377
177,0.408022237
178,0.40759984
179,0.407251781
180,0.406935785
181,0.406613371
182,0.406249903
183,0.405814341
184,0.405278883
185,0.404618639
186,0.4038114
187,0.402837575
188,0.401680295
189,0.400325731
190,0.398763573
191,0.39698767
192,0.394996742
193,0.392795095
194,0.390393219
195,0.387808146
196,0.385063464
197,0.382113875
198,0.379236512
199,0.376280873
200,0.373202171
201,0.370174386
202,0.367218596
203,0.364364679
204,0.361641426
205,0.359072817
206,0.356676801
207,0.35447204
208,0.352461766
209,0.350644173
210,0.349013402
211,0.347560523
212,0.346274445
213,0.344975534
214,0.34400327
215,0.343156906
216,0.342423558
217,0.341790857
218,0.341443094
219,0.340624544
220,0.340183352
221,0.339818316
222,0.33951633
223,0.339266505
224,0.339059753
225,0.338888446
226,0.338746141
227,0.338627361
228,0.338621665
229,0.338511645
230,0.33841879
231,0.338338445
232,0.338266522
233,0.338199327
234,0.338133394
235,0.338065321
236,0.337991612
237,0.337908524
238,0.337811881
239,0.337696879
240,0.337557846
