generation,ave_CoopeRate
0,0.498046724
1,0.335220369
2,0.247947556
3,0.186816183
4,0.137730024
5,0.098326111
6,0.068555496
7,0.047497451
8,0.033458492
9,0.02448592
10,0.018902922
11,0.015483577
12,0.013413617
13,0.012166716
14,0.011422087
15,0.010985275
16,0.010738373
17,0.010609627
18,0.010555129
19,0.010547834
20,0.010570972
21,0.010614076
22,0.010670576
23,0.010736324
24,0.010808697
25,0.010886032
26,0.010967278
27,0.011051775
28,0.011139117
29,0.011838125
30,0.011680092
31,0.011625559
32,0.011633661
33,0.011680065
34,0.011750297
35,0.011835766
36,0.011931383
37,0.012034155
38,0.012142331
39,0.01225491
40,0.012371334
41,0.012491314
42,0.012614722
43,0.01274153
44,0.01287177
45,0.013005512
46,0.013142855
47,0.013260141
48,0.013404581
49,0.013552986
50,0.013705504
51,0.013862293
52,0.014023517
53,0.014189354
54,0.014359987
55,0.014535611
56,0.015438346
57,0.015317821
58,0.015328774
59,0.015419696
60,0.015560382
61,0.015733166
62,0.015927768
63,0.016138265
64,0.016361307
65,0.016595064
66,0.016838617
67,0.017091588
68,0.01735393
69,0.018886924
70,0.018269099
71,0.018298169
72,0.018523363
73,0.018814026
74,0.01913239
75,0.019467799
76,0.019817581
77,0.020181447
78,0.020559849
79,0.020953503
80,0.021363243
81,0.021789985
82,0.022234722
83,0.022698521
84,0.024134906
85,0.023650685
86,0.024177465
87,0.0247284
88,0.025305053
89,0.025909116
90,0.026542427
91,0.027206984
92,0.027904962
93,0.02863873
94,0.029410879
95,0.030224239
96,0.031081914
97,0.03198731
98,0.032944172
99,0.033956628
100,0.035029235
101,0.036167036
102,0.037375621
103,0.038661205
104,0.040030711
105,0.041491871
106,0.043053342
107,0.044724847
108,0.046517334
109,0.048443167
110,0.050516359
111,0.054062653
112,0.055739371
113,0.058027148
114,0.060719682
115,0.063745472
116,0.067092969
117,0.071405377
118,0.075148286
119,0.079434936
120,0.084273358
121,0.089704492
122,0.09579616
123,0.102641439
124,0.110360226
125,0.119103532
126,0.129060531
127,0.140779055
128,0.153591362
129,0.16870531
130,0.186520539
131,0.20809351
132,0.232969282
133,0.263622611
134,0.300422472
135,0.346449721
136,0.404760058
137,0.462164976
138,0.494035503
139,0.500947127
140,0.50801972
141,0.555325152
142,0.749173123
143,0.831867846
144,0.825200704
145,0.826858617
146,0.825052382
147,0.824966752
148,0.824013556
149,0.823046765
150,0.82135631
151,0.818975004
152,0.815351181
153,0.810027144
154,0.802266703
155,0.791213065
156,0.775827196
157,0.755117463
158,0.728364904
159,0.696200129
160,0.660489099
161,0.623018668
162,0.585601264
163,0.54980404
164,0.51681187
165,0.487402238
166,0.461990921
167,0.440710406
168,0.423493265
169,0.410144092
170,0.400393018
171,0.394099529
172,0.390118683
173,0.388978312
174,0.390174707
175,0.393279328
176,0.397858126
177,0.40345349
178,0.409590568
179,0.415166438
180,0.420486753
181,0.425231045
182,0.429148105
183,0.432089374
184,0.434010325
185,0.43495823
186,0.435050386
187,0.43444843
188,0.433333736
189,0.431887157
190,0.430274426
191,0.42863708
192,0.427087978
193,0.425710257
194,0.424558612
195,0.423662044
196,0.423027447
197,0.422643607
198,0.422485341
199,0.422517577
200,0.422699244
201,0.422986843
202,0.423337583
203,0.423711986
204,0.424075879
205,0.424401728
206,0.424669316
207,0.424865809
208,0.42498529
209,0.425060652
210,0.425375503
211,0.425536573
212,0.425554189
213,0.425446365
214,0.425236046
215,0.424981649
216,0.424986908
217,0.424873005
218,0.424660135
219,0.424371101
220,0.424029203
221,0.423656511
222,0.423272558
223,0.42289347
224,0.422531493
225,0.422194869
226,0.421888005
227,0.421611857
228,0.421364471
229,0.421141623
230,0.420937484
231,0.420745288
232,0.420557946
233,0.420368578
234,0.420170949
235,0.419959789
236,0.419731006
237,0.419481779
238,0.419210567
239,0.418917018
240,0.418601832
241,0.418429833
242,0.416930848
243,0.416231189
244,0.415809474
245,0.415522547
246,0.415317587
247,0.415162556
248,0.415030945
249,0.414899447
250,0.414748442
251,0.414562819
252,0.413764154
253,0.413210628
254,0.412725193
255,0.412307414
256,0.412395884
257,0.41204638
258,0.411963142
259,0.410417989
260,0.409621896
261,0.408980407
262,0.408521524
263,0.40869225
264,0.408537795
265,0.40833121
266,0.408132448
267,0.407979752
268,0.407892983
269,0.407877035
270,0.407925339
271,0.408023368
272,0.408152074
273,0.408291094
274,0.408421568
275,0.408528402
276,0.40860184
277,0.408638246
278,0.408640089
279,0.408615201
280,0.408575429
281,0.408534903
282,0.408508132
283,0.408508171
284,0.408545071
285,0.40862478
286,0.408205009
287,0.407210688
288,0.40664036
289,0.406346772
290,0.406558542
291,0.407226821
292,0.408234153
293,0.40942767
294,0.410087932
295,0.410639247
296,0.411175507
297,0.411629445
298,0.411955525
299,0.412133983
300,0.412171083
301,0.412095504
302,0.412712594
303,0.413535825
304,0.412520468
305,0.411705899
306,0.411264185
307,0.41128129
308,0.411767143
309,0.412660503
310,0.413843441
311,0.415163514
312,0.416460864
313,0.417596295
314,0.418475473
315,0.419064469
316,0.419393534
317,0.41954871
318,0.419740732
319,0.419494833
320,0.419592336
321,0.420266901
322,0.420992752
323,0.422367837
324,0.424370257
325,0.426908313
326,0.429839471
327,0.432998963
328,0.436233083
329,0.440198409
330,0.442832607
331,0.445371933
332,0.448026737
333,0.451141785
334,0.453400698
335,0.457290884
336,0.462619665
337,0.469289584
338,0.4770946
339,0.485688946
340,0.494622133
341,0.503411028
342,0.511632149
343,0.519011483
344,0.525484719
345,0.531206519
346,0.536503284
347,0.541782097
348,0.547308473
349,0.553034336
350,0.559521389
351,0.566708074
352,0.57419941
353,0.581350703
354,0.587407103
355,0.591709702
356,0.593926221
357,0.594219704
358,0.593263329
359,0.592070706
360,0.591705085
361,0.592979225
