generation,ave_CoopeRate
0,0.498046724
1,0.334191421
2,0.26536135
3,0.211855391
4,0.165599932
5,0.124951833
6,0.09082671
7,0.064190303
8,0.044909499
9,0.031832898
10,0.023396739
11,0.018144699
12,0.014961166
13,0.013071604
14,0.011970773
15,0.011349435
16,0.01102028
17,0.010870291
18,0.010831297
19,0.010862102
20,0.011443253
21,0.011286755
22,0.011280913
23,0.011914625
24,0.011744161
25,0.011723251
26,0.011811341
27,0.011947537
28,0.012111504
29,0.012293159
30,0.012487598
31,0.012692543
32,0.012907057
33,0.013692607
34,0.013632621
35,0.013728725
36,0.015164133
37,0.014566522
38,0.014540579
39,0.014720726
40,0.014981778
41,0.015280681
42,0.015602823
43,0.015943596
44,0.016301997
45,0.01667838
46,0.017073663
47,0.017489051
48,0.017925931
49,0.018385853
50,0.018870529
51,0.019381838
52,0.01992185
53,0.020492846
54,0.021097342
55,0.021738121
56,0.022418266
57,0.023141203
58,0.023910744
59,0.024731146
60,0.02560717
61,0.026544158
62,0.027548125
63,0.029916979
64,0.030371544
65,0.031305053
66,0.032510707
67,0.033905074
68,0.035567678
69,0.037277255
70,0.039151441
71,0.041206525
72,0.043929533
73,0.046127144
74,0.048732346
75,0.051708511
76,0.055065612
77,0.059066182
78,0.06335071
79,0.068199546
80,0.073715584
81,0.080028796
82,0.087303919
83,0.095751628
84,0.105644575
85,0.11734062
86,0.131317039
87,0.148222051
88,0.168954453
89,0.194790455
90,0.227592888
91,0.270170927
92,0.326931276
93,0.403648067
94,0.468323955
95,0.496896808
96,0.500534868
97,0.504378693
98,0.532789665
99,0.690082447
100,0.948638208
101,0.997696017
102,0.99899906
103,0.999
104,0.998999982
105,0.998988418
106,0.843727581
107,0.751490856
108,0.747461155
109,0.743379101
110,0.730435481
111,0.688480087
112,0.559724867
113,0.273181029
114,0.039476271
115,0.004454502
116,0.002523349
117,0.001763003
118,0.001381934
119,0.001689007
120,0.001344856
121,0.001670844
122,0.001335716
123,0.001167932
124,0.001083984
125,0.001041997
126,0.001519978
127,0.001260125
128,0.001130096
129,0.001065057
130,0.001033774
131,0.001017512
132,0.001009378
133,0.001005309
134,0.001003274
135,0.001002255
136,0.001001745
137,0.001001489
138,0.00100136
139,0.001997796
140,0.001002786
141,0.001001245
142,0.001999474
143,0.001001498
144,0.001001225
145,0.001001223
146,0.001001221
147,0.001001219
148,0.001001218
149,0.001001216
150,0.001001215
151,0.001001213
152,0.001001212
153,0.00100121
154,0.001001209
155,0.001001207
156,0.001001206
157,0.001500111
158,0.001749333
159,0.001375927
160,0.001188741
161,0.00109502
162,0.001048123
163,0.001024664
164,0.00101293
165,0.001505962
166,0.001254031
167,0.001127742
168,0.001064506
169,0.00103286
170,0.001017027
171,0.002007646
172,0.001005417
173,0.001003163
174,0.00100217
175,0.001001672
176,0.001001423
177,0.001001297
178,0.001001234
179,0.001001201
180,0.001001184
181,0.001001175
182,0.00100117
183,0.001001167
184,0.001001164
185,0.001999712
186,0.001003552
187,0.001335109
188,0.001224555
189,0.002147338
190,0.001101975
191,0.001068847
192,0.00104697
193,0.001032385
194,0.002019121
195,0.00101704
196,0.001011864
197,0.00100898
198,0.001508122
199,0.001256181
200,0.001129907
201,0.001066791
202,0.001534187
203,0.001269011
204,0.001136183
205,0.001069718
206,0.00103647
207,0.001019837
208,0.001011513
209,0.001007345
210,0.001005256
211,0.001004207
212,0.00100368
213,0.001003413
214,0.001003277
215,0.001003206
216,0.001003169
217,0.001003148
218,0.001003135
219,0.001003126
220,0.00100312
221,0.001003115
222,0.00100311
223,0.001003106
224,0.001003102
225,0.001003098
226,0.001003094
227,0.001003089
228,0.001003085
229,0.001003081
