generation,ave_CoopeRate
0,0.498046724
1,0.337659052
2,0.274211237
3,0.22430852
4,0.180533689
5,0.140797071
6,0.105767518
7,0.076770243
8,0.054468546
9,0.038493087
10,0.027725453
11,0.020805916
12,0.016514883
13,0.013935551
14,0.012421601
15,0.011559851
16,0.011096347
17,0.010876719
18,0.011421271
19,0.011328067
20,0.011271616
21,0.011310494
22,0.011411323
23,0.011553693
24,0.011725192
25,0.012876987
26,0.012689233
27,0.012685957
28,0.012793206
29,0.012969037
30,0.013189763
31,0.013442134
32,0.013718899
33,0.014016275
34,0.014332515
35,0.014667087
36,0.015020205
37,0.015392568
38,0.015785215
39,0.016199443
40,0.016636772
41,0.017098929
42,0.017587852
43,0.018105699
44,0.018654871
45,0.019391906
46,0.020021911
47,0.020693092
48,0.021409259
49,0.022174681
50,0.022994154
51,0.024493069
52,0.025208057
53,0.026076996
54,0.027078362
55,0.029496109
56,0.030088239
57,0.031143349
58,0.032493035
59,0.034067037
60,0.035842453
61,0.037820734
62,0.039939735
63,0.042372505
64,0.045081476
65,0.048108684
66,0.051505973
67,0.055337106
68,0.059680815
69,0.064635031
70,0.070322688
71,0.076899774
72,0.084566626
73,0.093584038
74,0.104296684
75,0.117167918
76,0.132832727
77,0.152180635
78,0.176489623
79,0.207650716
80,0.248561541
81,0.303854496
82,0.381346543
83,0.455242358
84,0.494626639
85,0.506201952
86,0.546176762
87,0.736827421
88,0.957965094
89,0.994010003
90,0.997618415
91,0.998388531
92,1
93,0.998533362
94,0.998724261
95,1
96,0.998646032
97,0.998746844
98,0.998816518
99,0.99886517
100,0.998899423
101,0.998923564
102,0.998940741
103,0.998953107
104,0.998962115
105,0.998968762
106,1
107,1
108,0.998615934
109,0.998753761
110,0.998837924
111,0.99889049
112,0.998924064
113,0.99894596
114,0.998960511
115,0.998970347
116,0.998977099
117,1
118,0.998985127
119,0.998987518
120,0.999981178
121,0.99892098
122,0.998986726
123,0.99899186
124,0.998992768
125,0.998993281
126,0.99899369
127,0.998994035
128,0.998994333
129,0.998994595
130,0.998994828
131,0.998995038
132,0.998995229
133,0.998995405
134,0.998995568
135,1
136,0.998734932
137,0.998860884
138,0.99892597
139,0.998959748
140,0.99897734
141,0.998986539
142,0.998991374
143,0.998993938
144,0.998995317
145,0.998996077
146,0.998996511
147,0.998996774
148,0.998996946
149,0.998997068
150,0.998997164
151,0.998997244
152,0.998997315
153,1
154,0.998995318
155,0.998995475
156,0.998995623
157,0.998995762
158,0.999989531
159,0.998914702
160,0.998989673
161,0.998995681
162,0.998996259
163,0.9989964
164,0.998996501
165,0.998996595
166,0.998996684
167,0.998996769
168,0.99899685
169,0.998996927
170,1
171,0.998733473
172,0.998858982
173,0.998924626
174,0.998959081
175,0.998977212
176,0.998986776
177,0.998991837
178,0.998994528
179,0.99899597
180,0.998996753
181,0.998997188
182,0.998997439
183,0.998997592
184,0.999989936
185,0.998920737
186,0.998991975
187,0.998997401
188,0.998997855
189,0.998997926
190,0.998997966
191,1
192,0.998732472
193,0.99885782
194,0.998923883
195,0.998958807
196,0.998977306
197,0.998987121
198,0.998992338
199,0.998995118
200,0.998996606
201,0.998997407
202,0.998997845
203,0.998998088
204,0.998998229
205,0.998998314
206,0.99899837
207,0.99899841
208,0.998998441
209,0.998998467
210,0.998998491
211,0.998998513
212,0.998998533
213,0.998998553
214,0.998998572
215,0.99899859
216,0.998998608
217,0.998998626
218,0.998998643
219,0.99899866
220,0.998998676
221,0.998998693
222,0.998998708
223,0.998998724
224,0.998998739
225,0.998998753
226,0.998998768
227,0.998998782
228,0.998998795
229,0.998998809
230,0.998998822
231,0.99999243
232,0.998917037
233,0.998992279
234,0.998998329
235,1
236,0.998727602
237,0.998852468
238,0.998919846
239,0.99895622
240,0.998975864
241,0.998986477
242,0.998992213
243,0.998995317
244,0.998996998
245,0.998997911
246,0.998998408
247,0.998998682
248,0.998998834
249,0.998998921
250,0.998998972
251,0.999993183
252,0.998916194
253,0.998992297
254,0.998998491
255,0.998999009
256,0.99899906
257,0.998999072
258,0.998999081
259,0.99899909
260,0.99999339
261,0.998915929
262,0.998992315
263,0.998998554
264,0.998999075
265,0.998999125
266,0.998999136
267,0.998999143
268,0.99899915
269,1
270,0.998999164
271,0.99899917
272,0.998999177
273,0.998999184
274,0.998999191
275,0.998999197
276,0.998999203
277,0.99899921
278,0.998999216
279,0.998999222
280,0.998999228
281,0.998999234
282,0.99899924
283,0.998999246
284,0.998999251
285,0.998999257
286,0.998999263
287,0.998999268
288,1
289,0.998768433
290,0.998839492
291,0.998888685
292,0.998922738
293,0.99894631
294,0.998962625
295,0.998973918
296,0.998981735
297,1
298,0.998710221
299,0.998837803
300,0.998909261
301,0.999941057
302,0.998890737
303,0.998977239
304,0.998989983
305,0.998994294
306,0.998996487
307,0.998997706
308,0.998998395
309,0.99899879
310,0.998999018
311,0.998999152
312,0.998999232
313,0.998999281
314,0.998999312
315,0.998999333
316,0.998999347
317,0.998999357
318,0.998999365
319,0.999994361
320,0.998904747
321,0.999985794
322,1
323,1
324,0.998733328
325,0.999849228
326,0.99885027
327,0.998954128
328,0.998977428
329,0.998987382
330,0.998992459
331,0.998995133
332,0.998996553
333,1
334,1
335,0.998653676
336,1
337,0.998586143
338,0.998756457
339,0.998854717
340,0.998911931
341,0.999938998
342,0.998875632
343,0.998969973
344,0.998984633
345,0.998989918
346,0.998992909
347,0.998994791
348,0.998996009
349,0.99899681
350,0.998997344
351,0.998997704
352,0.998997952
353,0.998998124
354,0.998998247
355,0.998998336
356,0.998998402
357,1
358,0.998723422
359,0.998886111
360,0.998952501
361,0.998979689
362,0.998990845
363,0.998995431
364,0.998997323
365,0.998998109
366,0.998998441
367,0.998998586
368,0.998998654
369,0.99899869
370,0.998998713
371,0.99899873
372,0.998998745
373,0.998998758
374,0.99999035
375,0.998919005
376,0.998992542
377,0.998998307
378,0.998998773
379,0.998998821
380,0.999990252
381,0.998918862
382,0.99899257
383,0.998998363
384,0.998998832
385,0.998998879
386,0.998998892
387,0.998998903
388,0.999993283
389,0.998905046
390,0.998990489
391,0.99899817
392,0.998998872
393,0.998998944
394,0.998998959
395,0.998998969
396,0.998998978
397,0.998998987
398,0.998998995
399,0.998999004
400,0.998999012
401,0.998999021
402,0.998999029
403,0.998999037
404,0.998999045
405,0.998999053
406,0.99899906
407,0.998999068
408,0.998999075
409,0.998999083
410,1
411,1
412,0.998592748
413,0.998784529
414,0.998885504
415,1
416,0.998701005
417,0.998841423
418,0.998915545
419,0.998954788
420,0.998975599
421,0.998986646
422,0.998992515
423,0.998995635
424,0.998997295
425,0.99899818
426,0.998998653
427,0.998998907
428,0.998999044
429,0.99899912
430,0.998999163
431,0.998999189
432,0.998999205
433,0.998999216
434,0.998999224
435,1
436,0.99872233
437,0.998885273
438,0.998952235
439,0.998979841
440,1
441,0.998714441
442,0.99884119
443,0.998911796
444,0.99895094
445,0.998972587
446,0.998984544
447,0.998991146
448,0.998994791
449,0.998996805
450,0.998997917
451,1
452,0.998997343
453,0.998997566
454,0.998997704
455,0.998997795
456,0.998997859
457,0.998997909
458,0.998997949
459,0.998997985
460,0.998998017
461,0.998998047
462,0.998998076
463,0.998998104
464,0.999991627
465,0.998907393
466,0.998990174
467,0.998997479
468,0.998998149
469,0.99899823
470,0.998998258
471,0.998998281
472,0.998998303
473,0.998998325
474,0.998998346
475,1
476,0.998703673
477,0.998825501
478,0.998896851
479,0.998938725
480,0.999954341
481,0.998898921
482,0.998980169
483,0.998990838
484,0.99899425
485,0.998996039
486,0.998997082
487,1
488,0.998733711
489,0.998859454
490,0.998925376
491,0.998960035
492,0.99897829
493,0.998987917
494,0.998992999
495,0.998995687
496,0.998997111
497,0.998997869
498,0.999989569
499,0.998918386
500,0.998992309
501,0.998998181
502,0.998998684
503,0.998998749
504,0.998998773
505,1
506,0.998998806
507,0.998998818
508,0.99899883
509,0.998998841
510,0.998998852
511,0.998998862
