generation,ave_CoopeRate
0,0.500019134
1,0.405057448
2,0.334399212
3,0.269838338
4,0.211206652
5,0.161022156
6,0.121151212
7,0.091884074
8,0.07086992
9,0.055821019
10,0.044926323
11,0.036888291
12,0.030821898
13,0.026137204
14,0.022442985
15,0.019477356
16,0.017061395
17,0.015069482
18,0.01341081
19,0.012017905
20,0.010839441
21,0.009835642
22,0.00897523
23,0.008627574
24,0.007837261
25,0.008138715
26,0.007022954
27,0.006323171
28,0.005823725
29,0.005431405
30,0.00510406
31,0.004821255
32,0.004572078
33,0.004349999
34,0.004671297
35,0.004326985
36,0.004051424
37,0.003826309
38,0.003638795
39,0.003479798
40,0.003342835
41,0.003223232
42,0.003117582
43,0.003023367
44,0.002938694
45,0.002862118
46,0.002792514
47,0.003619163
48,0.002951155
49,0.002704969
50,0.002595008
51,0.002530546
52,0.002482708
53,0.002442181
54,0.002405851
55,0.002372577
56,0.002341856
57,0.002313401
58,0.002287007
59,0.002262501
60,0.002272352
61,0.002590463
62,0.002523763
63,0.002465048
64,0.002413273
65,0.002367555
66,0.002327128
67,0.002291331
68,0.002259586
69,0.002231396
70,0.002206325
71,0.002183997
72,0.002164084
73,0.002146301
74,0.003176909
75,0.002173909
76,0.002105665
77,0.002091116
78,0.002080649
79,0.00207138
80,0.002063044
81,0.002055535
82,0.002048766
83,0.002042662
84,0.002037157
85,0.00203219
86,0.002027711
87,0.002023673
88,0.002020035
89,0.002016456
90,0.002013477
91,0.002010824
92,0.002008447
93,0.002006324
94,0.002004434
95,0.002734155
96,0.002251036
97,0.002098585
98,0.002053547
99,0.002040035
100,0.002035848
101,0.002034486
102,0.00203404
103,0.002033947
104,0.002034037
105,0.002034256
106,0.002034583
107,0.002035009
108,0.002035527
109,0.002036132
110,0.002072395
111,0.002635321
112,0.002343611
113,0.0022043
114,0.002138195
115,0.002107235
116,0.002093156
117,0.002087199
118,0.002085165
119,0.00208504
120,0.002085859
121,0.002087157
122,0.002942194
123,0.002124629
124,0.003275734
125,0.002277503
126,0.002123166
127,0.002100662
128,0.002098843
129,0.002100303
130,0.002102313
131,0.002104446
132,0.002106632
133,0.002108862
134,0.002111132
135,0.002113442
136,0.002115792
137,0.002118181
138,0.002120609
139,0.002123075
140,0.002892697
141,0.00223837
