generation,ave_CoopeRate
0,0.5000174
1,0.402018313
2,0.32927215
3,0.26336389
4,0.204433487
5,0.15504176
6,0.116566228
7,0.088191344
8,0.067938324
9,0.053461487
10,0.042919115
11,0.035068708
12,0.02909178
13,0.02444928
14,0.020781461
15,0.017842934
16,0.015461779
17,0.013514131
18,0.011908389
19,0.011649868
20,0.009460139
21,0.008523946
22,0.007732496
23,0.007059631
24,0.006484407
25,0.006805884
26,0.005909984
27,0.005338392
28,0.004928854
29,0.004608133
30,0.004341987
31,0.004113398
32,0.003913113
33,0.003735523
34,0.00357307
35,0.00343066
36,0.00330218
37,0.003185826
38,0.003080115
39,0.002983793
40,0.002895794
41,0.0028152
42,0.002741218
43,0.00267316
44,0.002610428
45,0.002552496
46,0.002498903
47,0.002449242
48,0.002403155
49,0.003051863
50,0.00282077
51,0.002524037
52,0.002376748
53,0.002288608
54,0.002228396
55,0.00218302
56,0.002146437
57,0.002115514
58,0.002088481
59,0.002063795
60,0.002041745
61,0.00202144
62,0.002002576
63,0.001984949
64,0.001968409
65,0.001952846
66,0.002955263
67,0.002036414
68,0.002235077
69,0.002090946
70,0.002003858
71,0.001947078
72,0.001908556
73,0.001881361
74,0.001861277
75,0.001845715
76,0.001833075
77,0.001822367
78,0.001812976
79,0.002533021
80,0.002025805
81,0.001861197
82,0.002511471
83,0.001940831
84,0.001806899
85,0.001772031
86,0.001759805
87,0.00175291
88,0.001747399
89,0.001742358
90,0.001737568
91,0.001732969
92,0.001728538
93,0.001724265
94,0.001720138
95,0.001716151
96,0.001712295
97,0.001708563
98,0.001704949
99,0.001701447
100,0.00169805
101,0.001694753
102,0.001691551
103,0.001688439
104,0.001685413
105,0.001682468
106,0.0016796
107,0.001676805
108,0.001674081
109,0.001671422
110,0.001935352
111,0.001868391
112,0.001817045
113,0.001777551
114,0.00174706
115,0.001723409
116,0.001704957
117,0.001690459
118,0.001678969
119,0.001669768
120,0.001662313
121,0.001656189
122,0.00165219
123,0.001647856
124,0.001644132
125,0.001640867
126,0.001637959
127,0.001635326
128,0.001632909
129,0.001630661
130,0.001628547
131,0.002489074
132,0.002498102
133,0.001923989
134,0.002609719
135,0.001747554
136,0.0016407
137,0.001621523
138,0.0016155
139,0.00161246
140,0.001610364
141,0.00160862
142,0.002429596
143,0.002114997
144,0.002470876
145,0.002079499
146,0.001865689
147,0.001747651
148,0.00168164
149,0.001644128
150,0.001622363
151,0.001609385
152,0.001601357
153,0.001596146
154,0.001592557
155,0.001589911
156,0.00158782
157,0.001586061
158,0.001584503
159,0.001583069
160,0.001581715
161,0.001580412
162,0.001579146
163,0.001577906
164,0.001576685
165,0.002123998
166,0.001825889
167,0.001688327
168,0.001624585
169,0.001594734
170,0.001580433
171,0.001573268
172,0.00156938
173,0.001566998
174,0.001565311
175,0.001563949
176,0.001562739
177,0.001561605
178,0.001560509
179,0.001559436
180,0.001558377
181,0.00155733
182,0.001556293
183,0.001555264
184,0.001554243
185,0.00155323
186,0.001552225
187,0.001551228
188,0.001550238
189,0.001549256
190,0.001548282
191,0.001547314
192,0.001546354
193,0.001545401
194,0.001544455
195,0.001543516
196,0.001542584
197,0.001541659
198,0.00154074
199,0.001539828
200,0.001538923
201,0.001538024
202,0.001537132
203,0.001536246
204,0.002728104
205,0.00158621
206,0.002738298
207,0.001613963
208,0.001537067
209,0.001531029
210,0.001529833
211,0.001528974
212,0.001528143
213,0.002233513
214,0.001686096
215,0.001561624
216,0.0015329
217,0.001525799
218,0.001523582
219,0.001522471
220,0.001521614
221,0.001520818
222,0.001520041
223,0.001519271
224,0.001518507
225,0.001517748
226,0.001516994
227,0.001516246
228,0.002509569
229,0.001564346
230,0.001516366
231,0.001513264
232,0.001512421
233,0.001511697
234,0.001510982
235,0.001510272
236,0.001509567
237,0.001508866
238,0.001861205
239,0.00177809
240,0.001714207
241,0.001845493
242,0.001767171
243,0.001706607
244,0.001659737
245,0.001623433
246,0.001900753
247,0.001798432
248,0.001722134
249,0.001665181
250,0.001622617
251,0.001590758
252,0.001566865
253,0.001958693
254,0.001752944
255,0.001640548
256,0.001578511
257,0.001543751
258,0.00152409
259,0.001512377
260,0.001505232
261,0.00150067
262,0.001497602
263,0.001495421
264,0.001493781
265,0.001492479
266,0.001491398
267,0.001490464
268,0.001489631
269,0.001488869
270,0.001488159
271,0.001487487
272,0.001486844
273,0.001486223
274,0.001485618
275,0.002341862
276,0.001550867
277,0.001488867
278,0.001483582
279,0.001482662
280,0.001482082
281,0.001481533
282,0.001480991
283,0.001480453
284,0.001479918
285,0.001479387
286,0.00147886
287,0.001478336
288,0.00147712
289,0.001476592
290,0.001476078
291,0.001475567
292,0.001475059
293,0.001474554
294,0.001474052
295,0.001473553
296,0.002078285
297,0.001763979
298,0.001612352
299,0.001539067
300,0.001503516
301,0.001486143
302,0.001477526
303,0.001473129
304,0.001470765
305,0.001469383
306,0.001468474
307,0.001467795
308,0.001467228
309,0.001466716
310,0.002229671
311,0.001631463
312,0.001501161
313,0.002258425
314,0.001957538
315,0.001771651
316,0.001655723
317,0.001583136
318,0.001537573
319,0.001508901
320,0.001490797
321,0.001479305
322,0.001471952
323,0.001467191
324,0.001464052
325,0.001461929
326,0.002229001
327,0.001843409
328,0.001650483
329,0.00155379
330,0.001505208
331,0.001480688
332,0.001468208
333,0.001461754
334,0.001458319
335,0.001456395
336,0.002248372
337,0.001605482
338,0.001482411
339,0.001458646
340,0.001453784
341,0.001452527
342,0.001451963
343,0.001451536
344,0.001451138
345,0.001450749
346,0.001450362
347,0.001449979
348,0.001449597
349,0.001449217
350,0.001448838
351,0.001448462
352,0.001448087
353,0.001447714
354,0.0023805
355,0.001678212
356,0.001828241
357,0.001705908
358,0.00163514
359,0.001586906
360,0.001551648
361,0.001889166
362,0.00173868
363,0.001639721
364,0.001574395
365,0.001531072
366,0.001502182
367,0.001482788
368,0.001469665
369,0.001460701
370,0.001454507
371,0.001450168
372,0.001447079
373,0.001444836
374,0.001443171
375,0.001441902
376,0.001440908
377,0.001440104
378,0.001719286
379,0.001611727
380,0.001545097
381,0.001503795
382,0.001478154
383,0.00183591
384,0.001739458
385,0.001666711
386,0.001611617
387,0.001569746
388,0.001537827
389,0.001513427
390,0.001494726
391,0.001480357
392,0.001469287
393,0.001460735
394,0.001454107
395,0.001448951
396,0.001999685
397,0.001714116
398,0.001572866
399,0.001502756
400,0.001467726
401,0.001450025
402,0.00144091
403,0.001436073
404,0.001433385
405,0.001431788
406,0.001430756
407,0.001430025
408,0.001429459
409,0.001428987
410,0.001428573
411,0.001428194
412,0.00142784
413,0.001427503
414,0.001427179
415,0.001426864
416,0.001426556
417,0.001426254
418,0.001425956
419,0.001425663
420,0.001425372
421,0.001425083
422,0.001424797
423,0.001424513
424,0.00142423
425,0.001423949
426,0.00142367
427,0.001423392
428,0.001423114
429,0.001422838
430,0.001422564
431,0.00142229
432,0.00144574
433,0.001445459
434,0.001445192
435,0.001444925
436,0.001444659
437,0.001444394
438,0.00144413
439,0.001754647
440,0.001680665
441,0.001950244
442,0.001870724
443,0.001805423
444,0.001751474
445,0.001706642
446,0.00166917
447,0.001637672
448,0.00161105
449,0.00158843
450,0.001570291
451,0.001553706
452,0.001539427
453,0.00152707
454,0.001516338
455,0.001506983
456,0.001756797
457,0.001716404
458,0.002279072
459,0.001945288
460,0.002723177
461,0.002000646
462,0.001728093
463,0.001617758
464,0.001567488
465,0.001540481
466,0.001523202
467,0.001510509
468,0.001500348
469,0.001491828
470,0.002301131
471,0.001985313
472,0.002497675
473,0.001946197
474,0.001697418
475,0.001579724
476,0.001520759
477,0.001489281
478,0.00147135
479,0.001460477
480,0.001453489
481,0.001448753
482,0.001445381
483,0.001442872
484,0.001440929
485,0.002145621
486,0.001692822
487,0.00152881
488,0.001469097
489,0.00144707
490,0.001438688
491,0.001435267
492,0.001433722
493,0.0014328
494,0.001432166
495,0.001431651
496,0.001431199
497,0.001430786
498,0.00202809
499,0.001719521
500,0.001569823
501,0.001497143
502,0.001461786
503,0.001444514
504,0.001436007
505,0.001846667
506,0.001647532
507,0.001542819
508,0.001487743
509,0.001458732
510,0.001443402
511,0.001435251
512,0.001430867
513,0.00142846
514,0.001427091
515,0.001426269
516,0.001425734
517,0.001425352
518,0.00142505
519,0.001424791
520,0.001424555
521,0.001424333
522,0.001424118
523,0.001423908
524,0.0014237
525,0.001423495
526,0.001423291
527,0.001745374
528,0.001666771
529,0.001607234
530,0.001562119
531,0.002140725
532,0.001937911
533,0.001792389
534,0.001687899
535,0.002130511
536,0.001898715
537,0.001743053
538,0.00163834
539,0.001567767
540,0.001520099
541,0.001487821
542,0.001465899
543,0.00145096
544,0.001440737
545,0.002175726
546,0.001701355
547,0.00152543
548,0.001459676
549,0.001434705
550,0.001424929
551,0.001420881
552,0.001419039
553,0.001418215
554,0.001417617
555,0.001417205
556,0.00141688
557,0.001416605
558,0.00141636
559,0.001416135
560,0.001415923
561,0.001415721
562,0.001415526
563,0.002401878
564,0.00153396
565,0.001429185
566,0.001416425
567,0.001414732
568,0.001414371
569,0.001414172
570,0.001413992
571,0.001413815
572,0.001413639
573,0.001413464
574,0.00141329
575,0.001413116
576,0.001412942
577,0.001412769
578,0.001412596
579,0.001412424
580,0.001413346
581,0.001413161
582,0.001412991
583,0.001412821
584,0.001412652
585,0.001412483
586,0.001412314
587,0.001412146
588,0.001411978
589,0.001411811
590,0.001411644
591,0.001411477
592,0.001411311
593,0.001411145
594,0.001769015
595,0.001714028
596,0.001667441
597,0.001627952
598,0.001594476
599,0.001566092
600,0.001542021
601,0.001521605
602,0.001504284
603,0.001489585
604,0.001477108
605,0.001466514
606,0.001457513
607,0.001449864
608,0.001443359
609,0.001437824
610,0.001433111
611,0.001429094
612,0.001425666
613,0.001422739
614,0.001420235
615,0.00141809
616,0.001416248
617,0.001414665
618,0.0014133
619,0.00141212
620,0.001411097
621,0.001410206
622,0.001409429
623,0.001408747
624,0.001408146
625,0.001407613
626,0.001407139
627,0.001768376
628,0.001639957
629,0.001556877
630,0.001503118
631,0.001468316
632,0.002475081
633,0.001448506
634,0.001421815
635,0.00141531
636,0.001411226
637,0.001408528
638,0.001406723
639,0.001405496
640,0.001404644
641,0.001404036
642,0.001403585
643,0.002014692
644,0.001837752
645,0.001711873
646,0.001622294
647,0.001558534
648,0.001513139
649,0.001480806
650,0.001457766
651,0.001441334
652,0.001429604
653,0.001421218
654,0.001415212
655,0.001410897
656,0.001407787
657,0.001405533
658,0.002386166
659,0.001469263
660,0.00140625
661,0.001401345
662,0.001400532
663,0.001400098
664,0.00139976
665,0.001399481
666,0.001399242
667,0.001399031
668,0.001398841
669,0.001398666
670,0.001398502
671,0.001398344
672,0.001398748
673,0.001398585
674,0.001398438
675,0.001398294
676,0.001398151
677,0.002110835
678,0.001675411
679,0.001505744
680,0.001439583
681,0.001413734
682,0.001403583
683,0.001399546
684,0.001397891
685,0.001397162
686,0.001396796
687,0.00139657
688,0.001396399
689,0.00139625
690,0.001396109
691,0.001395972
692,0.001395837
693,0.001395702
694,0.001395568
695,0.001708389
696,0.001666575
697,0.002411706
698,0.002087959
699,0.001877722
700,0.001739497
701,0.001647219
702,0.001584462
703,0.001541954
704,0.001510906
705,0.001488215
706,0.001471175
707,0.001458043
708,0.001447681
709,0.00143933
710,0.001432481
711,0.00142678
712,0.00142198
713,0.001417901
714,0.001414409
715,0.001411404
716,0.001408806
717,0.001406552
718,0.00140459
719,0.001402878
720,0.00140138
721,0.001400067
722,0.001398913
723,0.001397897
724,0.001397
725,0.001396206
726,0.001395502
727,0.001394874
728,0.001394314
729,0.001393812
730,0.00139336
731,0.001392952
732,0.001392583
733,0.001392246
734,0.001391937
735,0.001695237
736,0.001618444
737,0.001560961
738,0.00176718
739,0.001702919
740,0.001650858
741,0.001864544
742,0.001796663
743,0.001739165
744,0.001690283
745,0.001648596
746,0.001612947
747,0.001582386
748,0.001556128
749,0.001533522
750,0.001514026
751,0.001497185
752,0.001482617
753,0.00147
754,0.001459059
755,0.001449561
756,0.001441309
757,0.001434132
758,0.001945681
759,0.001762123
760,0.001640472
761,0.002312511
762,0.001645905
763,0.001495472
764,0.001622102
765,0.001564868
766,0.001695987
767,0.001628553
768,0.001576162
769,0.001535294
770,0.001503328
771,0.002526221
772,0.001777311
773,0.001540078
774,0.001879203
775,0.001735513
776,0.001638925
777,0.001570676
778,0.001521322
779,0.001485252
780,0.001458753
781,0.001439227
782,0.001424808
783,0.001414138
784,0.001405703
785,0.001399814
786,0.001395433
787,0.001392153
788,0.001389687
789,0.001387823
790,0.001386403
791,0.001385314
792,0.00138447
793,0.001383809
794,0.002349409
795,0.001484346
796,0.001393067
797,0.001383279
798,0.00138204
799,0.001381721
800,0.001381519
801,0.001381346
802,0.001381188
803,0.00138056
804,0.001380407
805,0.001380276
806,0.001380149
807,0.001380027
808,0.001689256
809,0.001571048
810,0.001798155
811,0.001638596
812,0.001539802
813,0.001478608
