generation,ave_CoopeRate
0,0.499992426
1,0.54691107
2,0.702728688
3,0.820618459
4,0.862250851
5,0.876332131
6,0.883434542
7,0.8886305
8,0.893639021
9,0.89930507
10,0.906160105
11,0.914472836
12,0.924130729
13,0.934564937
14,0.944917092
15,0.954417841
16,0.962662487
17,0.969584476
18,0.975277393
19,0.979874025
20,0.983516053
21,0.986354622
22,0.98854435
23,0.990230022
24,0.991535441
25,0.992558914
26,0.993374428
27,0.994035774
28,0.994581344
29,0.995038412
30,0.995426474
31,0.995759664
32,0.99604843
33,0.997079599
34,0.996350401
35,0.996671416
36,0.996881184
37,0.997046665
38,0.997188725
39,0.997314718
40,0.997427916
41,0.997530244
42,0.997623099
43,0.997707604
44,0.997784705
45,0.997855215
46,0.99865902
47,0.997770966
48,0.99797468
49,0.998653103
50,0.997969221
51,0.998145077
52,0.998208401
53,0.998249437
54,0.998284373
55,0.998316275
56,0.998345854
57,0.998373387
58,0.998399056
59,0.998423011
60,0.998445387
61,0.998466306
62,0.998485879
63,0.998504205
64,0.998521377
65,0.998537477
66,0.998552581
67,0.998566761
68,0.998580079
69,0.998592594
70,0.998334927
71,0.998615465
72,0.999518664
73,0.998462925
74,0.998597253
75,0.998640591
76,0.99865836
77,0.998668716
78,0.99867671
79,0.998683762
80,0.998690281
81,0.998696398
82,0.998702164
83,0.998707608
84,0.998712751
85,0.99871761
86,0.998722204
87,0.998726546
88,0.998730653
89,0.998734537
90,0.998738211
91,0.998741687
92,0.998744977
93,0.99874809
94,0.998751038
95,0.998753828
96,0.99875647
97,0.998758973
98,0.998761343
99,0.998763589
100,0.998765716
101,0.998767733
102,0.998769643
103,0.998771455
104,0.998773172
105,0.9987748
106,0.998776345
107,0.998777809
108,0.998779199
109,0.998780517
110,0.998781768
111,0.998782955
112,0.998784083
113,0.998785153
114,0.998786169
115,0.998787134
116,1
117,0.998789126
118,0.998789956
119,0.998790745
120,0.999023572
121,1
122,0.998708343
123,0.998718948
124,0.99872397
125,0.998728367
126,0.998732499
127,0.998736403
128,0.998740093
129,0.998743582
130,0.998746882
131,0.998750003
132,0.998752955
133,0.998755748
134,0.998758392
135,0.998760893
136,0.998763261
137,0.998765503
138,0.998767626
139,0.998769637
140,0.998771541
