generation,stra.1,stra.2,stra.3,stra.4,stra.5,stra.6,stra.7,stra.8,stra.9,stra.10,stra.11,stra.12,stra.13,stra.14,stra.15,stra.16,stra.17
29,0.135766919,1.15E-08,0.026314014,1.13E-10,1.48E-06,0,9.80E-10,0,0.123326881,1.37E-08,0.037734714,3.51E-06,1.63E-08,1.79E-05,6.65E-12,0,0.676834552
30,0.074764375,2.81E-09,0.014592119,2.80E-11,5.05E-07,0,2.75E-10,0,0.067912986,5.02E-09,0.024350207,1.88E-06,7.38E-09,1.25E-05,5.71E-12,0,0.818365411
31,0.020411363,2.49E-10,0.004063177,2.59E-12,7.31E-08,0,4.76E-11,0,0.018540497,1.13E-09,0.009688968,8.45E-07,2.49E-09,1.06E-05,5.41E-12,0,0.947284498
32,8.78E-04,0,2.01E-04,1.20E-14,6.19E-10,0,5.73E-12,0,7.97E-04,1.52E-10,0.001777729,3.30E-07,6.46E-10,1.02E-05,5.40E-12,0,0.99633578
33,1.21E-06,0,1.55E-06,1.50E-16,0,0,7.71E-13,0,1.10E-06,2.06E-11,2.49E-04,1.28E-07,1.66E-10,1.02E-05,5.42E-12,0,0.999736878
34,5.68E-12,0,9.88E-09,1.99E-18,0,0,1.04E-13,0,0,2.79E-12,3.44E-05,4.98E-08,4.28E-11,1.02E-05,5.42E-12,0,0.999955367
35,2.65E-17,0,6.27E-11,2.63E-20,0,0,1.41E-14,0,0,3.77E-13,4.75E-06,1.93E-08,1.10E-11,1.01E-05,5.43E-12,0,0.9999851
36,1.23E-22,0,3.98E-13,3.47E-22,0,0,1.91E-15,0,0,5.10E-14,6.57E-07,7.50E-09,2.83E-12,1.01E-05,5.43E-12,0,0.99998925
37,5.68E-28,0,2.53E-15,4.59E-24,0,0,2.58E-16,0,0,6.90E-15,9.08E-08,2.91E-09,7.27E-13,1.00E-05,5.44E-12,0,0.99998986
38,2.61E-33,0,1.61E-17,6.07E-26,0,0,3.48E-17,0,0,9.34E-16,1.25E-08,1.13E-09,1.87E-13,1.00E-05,5.44E-12,0,0.99998998
39,1.19E-38,0,1.02E-19,8.03E-28,0,0,4.71E-18,0,0,1.26E-16,1.73E-09,4.38E-10,4.80E-14,9.97E-06,5.45E-12,0,0.999990031
40,5.43E-44,0,6.48E-22,1.06E-29,0,0,6.36E-19,0,0,1.71E-17,2.39E-10,1.70E-10,1.23E-14,9.93E-06,5.45E-12,0,0.999990072
41,2.46E-49,0,4.12E-24,1.40E-31,0,0,8.60E-20,0,0,2.32E-18,3.31E-11,6.60E-11,3.17E-15,9.89E-06,5.46E-12,0,0.999990111
42,1.11E-54,0,2.61E-26,1.86E-33,0,0,1.16E-20,0,0,3.13E-19,4.57E-12,2.56E-11,8.16E-16,9.85E-06,5.46E-12,0,0.99999015
43,5.00E-60,0,1.66E-28,2.46E-35,0,0,1.57E-21,0,0,4.24E-20,6.31E-13,9.94E-12,2.10E-16,9.81E-06,5.47E-12,0,0.999990189
44,8.10E-07,0,1.19E-30,3.13E-37,0,0,2.11E-22,0,0,5.71E-21,8.76E-14,3.85E-12,5.37E-17,9.74E-06,5.46E-12,0,0.999989453
45,3.59E-12,0,7.53E-33,4.14E-39,0,0,2.86E-23,0,0,7.73E-22,1.21E-14,1.49E-12,1.38E-17,9.70E-06,5.46E-12,0,0.999990301
46,1.59E-17,0,4.78E-35,5.48E-41,0,0,3.86E-24,0,0,1.05E-22,1.67E-15,5.80E-13,3.55E-18,9.66E-06,5.47E-12,0,0.999990339
47,6.98E-23,0,3.04E-37,7.25E-43,0,0,5.22E-25,0,0,1.42E-23,2.31E-16,2.25E-13,9.13E-19,9.62E-06,5.47E-12,0,0.999990377
48,3.05E-28,0,1.93E-39,9.59E-45,0,0,7.05E-26,0,0,1.92E-24,3.19E-17,8.73E-14,2.35E-19,9.58E-06,5.48E-12,0,0.999990415
49,1.33E-33,0,1.23E-41,1.27E-46,0,0,9.54E-27,0,0,2.59E-25,4.41E-18,3.39E-14,6.03E-20,9.55E-06,5.48E-12,0,0.999990453
50,5.77E-39,0,7.78E-44,1.68E-48,0,0,1.29E-27,0,0,3.51E-26,6.09E-19,1.32E-14,1.55E-20,9.51E-06,5.49E-12,0,0.999990491
51,2.49E-44,0,4.94E-46,2.22E-50,0,0,1.74E-28,0,0,4.75E-27,8.42E-20,5.10E-15,3.99E-21,9.47E-06,5.49E-12,0,0.999990528
52,1.07E-49,0,3.14E-48,2.93E-52,0,0,2.36E-29,0,0,6.43E-28,1.16E-20,1.98E-15,1.02E-21,9.43E-06,5.50E-12,0,0.999990566
53,4.59E-55,0,1.99E-50,3.88E-54,0,0,3.18E-30,0,0,8.70E-29,1.61E-21,7.69E-16,2.63E-22,9.40E-06,5.50E-12,0,0.999990603
54,1.95E-60,0,1.27E-52,5.13E-56,0,0,4.30E-31,0,0,1.18E-29,2.22E-22,2.98E-16,6.77E-23,9.36E-06,5.51E-12,0,0.99999064
55,8.29E-66,0,8.04E-55,6.78E-58,0,0,5.82E-32,0,0,1.59E-30,3.07E-23,1.16E-16,1.74E-23,9.32E-06,5.51E-12,0,0.999990677
56,3.50E-71,0,5.11E-57,8.97E-60,0,0,7.86E-33,0,0,2.16E-31,4.24E-24,4.50E-17,4.48E-24,9.29E-06,5.52E-12,0,0.999990714
57,1.47E-76,0,3.24E-59,1.19E-61,0,0,1.06E-33,0,0,2.92E-32,5.86E-25,1.74E-17,1.15E-24,9.25E-06,5.52E-12,0,0.99999075
58,6.16E-82,0,2.06E-61,1.57E-63,0,0,1.44E-34,0,0,3.95E-33,8.09E-26,6.77E-18,2.96E-25,9.21E-06,5.53E-12,0,0.999990787
59,2.57E-87,0,1.31E-63,2.08E-65,0,0,1.94E-35,0,0,5.34E-34,1.12E-26,2.63E-18,7.60E-26,9.18E-06,5.53E-12,0,0.999990823
60,1.06E-92,0,8.31E-66,2.75E-67,0,0,2.63E-36,0,0,7.23E-35,1.55E-27,1.02E-18,1.95E-26,9.14E-06,5.54E-12,0,0.999990859
61,4.39E-98,0,5.28E-68,3.63E-69,0,0,3.55E-37,0,0,9.78E-36,2.13E-28,3.96E-19,5.02E-27,9.10E-06,5.54E-12,0,0.999990895
62,1.81E-103,0,3.35E-70,4.80E-71,0,0,4.80E-38,0,0,1.32E-36,2.95E-29,1.54E-19,1.29E-27,9.07E-06,5.55E-12,0,0.999990931
63,7.39E-109,0,2.13E-72,6.35E-73,0,0,6.48E-39,0,0,1.79E-37,4.08E-30,5.96E-20,3.32E-28,9.03E-06,5.55E-12,0,0.999990967
64,3.01E-114,0,1.35E-74,8.40E-75,0,0,8.76E-40,0,0,2.42E-38,5.63E-31,2.31E-20,8.54E-29,9.00E-06,5.55E-12,0,0.999991003
65,1.22E-119,0,8.59E-77,1.11E-76,0,0,1.18E-40,0,0,3.28E-39,7.78E-32,8.98E-21,2.19E-29,8.96E-06,5.56E-12,0,0.999991038
66,4.92E-125,0,5.46E-79,1.47E-78,0,0,1.60E-41,0,0,4.44E-40,1.07E-32,3.49E-21,5.64E-30,8.93E-06,5.56E-12,0,0.999991074
67,1.97E-130,0,3.46E-81,1.94E-80,0,0,2.16E-42,0,0,6.00E-41,1.48E-33,1.35E-21,1.45E-30,8.87E-06,5.56E-12,0,0.999991127
68,2.60E-134,0,1.81E-83,2.35E-82,0,0,2.90E-43,0,0,8.10E-42,2.03E-34,3.88E-04,3.72E-31,8.83E-06,5.56E-12,0,0.999603667
69,1.39E-138,0,1.07E-85,3.00E-84,0,0,3.91E-44,0,0,1.10E-42,2.80E-35,1.50E-04,9.56E-32,8.80E-06,5.57E-12,0,0.999840838
