generation,stra.1,stra.2,stra.3,stra.4,stra.5,stra.6,stra.7,stra.8,stra.9,stra.10,stra.11,stra.12,stra.13,stra.14,stra.15,stra.16,stra.17
initial,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529
0,0.119446071,0.092991227,0.074049003,0.0561293,0.100956157,0.050507257,0.033812198,0.013959694,0.115073125,0.08292113,0.063417183,0.048915275,0.055899261,0.015503881,0.00815835,0,0.068260888
1,0.18087997,0.093465554,0.07724304,0.039185751,0.117640943,0.016839182,0.011141531,0,0.171992488,0.076377108,0.063943189,0.034307515,0.040255178,0.001894307,0.001574191,0,0.073260053
2,0.233932358,0.07475822,0.077068793,0.024657276,0.111341717,0.003312348,0.003693669,0,0.220166802,0.058595862,0.064136631,0.022996338,0.02695296,3.34E-04,5.00E-04,0,0.077552604
3,0.279202431,0.052476859,0.076458996,0.014500657,0.094625616,4.16E-04,0.001336169,0,0.260747208,0.04122524,0.064473531,0.014851378,0.017385238,6.75E-05,1.90E-04,0,0.082042787
4,0.315210391,0.033427945,0.075872451,0.008092699,0.074704216,3.26E-05,5.21E-04,0,0.29279893,0.02728005,0.064898246,0.009299289,0.010916141,1.47E-05,8.01E-05,0,0.086851002
5,0.341444098,0.01974307,0.075321433,0.004339513,0.055819258,1.49E-06,2.14E-04,0,0.316047095,0.017236928,0.065347083,0.00569208,0.006718264,3.38E-06,3.61E-05,0,0.092036312
6,0.358875478,0.011015301,0.074759519,0.002261218,0.040046303,3.58E-08,9.04E-05,0,0.331434844,0.0105244,0.065787033,0.003431842,0.004075456,8.11E-07,1.70E-05,0,0.097680353
7,0.369338189,0.005900037,0.074155862,0.001155602,0.027912264,3.61E-10,3.88E-05,0,0.340621485,0.00627035,0.066206284,0.002050142,0.002447888,2.01E-07,8.26E-06,0,0.103894653
8,0.374710866,0.003072053,0.073491884,5.83E-04,0.019070054,4.71E-13,1.67E-05,0,0.345282459,0.003672722,0.066600989,0.001218563,0.001460775,5.14E-08,4.10E-06,0,0.110815723
9,0.376483905,0.001575041,0.072755677,2.93E-04,0.01287637,0,7.28E-06,0,0.346739317,0.002132678,0.066966097,7.25E-04,8.71E-04,1.36E-08,2.08E-06,0,0.118573406
10,0.375723736,7.99E-04,0.071931616,1.47E-04,0.00862501,0,3.18E-06,0,0.345933893,0.001231671,0.067295838,4.32E-04,5.19E-04,3.72E-09,1.07E-06,0,0.127357311
11,0.373079538,4.03E-04,0.071000089,7.32E-05,0.005741824,0,1.39E-06,0,0.343437103,7.08E-04,0.06758027,2.58E-04,3.09E-04,1.05E-09,5.62E-07,0,0.137407809
12,0.368895888,2.01E-04,0.069936223,3.64E-05,0.003802426,0,6.06E-07,0,0.339549323,4.06E-04,0.067803671,1.54E-04,1.84E-04,3.03E-10,2.99E-07,0,0.149028648
13,0.363298973,1.00E-04,0.06870752,1.81E-05,0.002505483,0,2.64E-07,0,0.334376388,2.32E-04,0.067942713,9.26E-05,1.10E-04,9.07E-11,1.62E-07,0,0.162615265
14,0.356244665,4.95E-05,0.067270581,8.91E-06,0.001642064,0,1.15E-07,0,0.327871451,1.32E-04,0.067963303,5.58E-05,6.57E-05,2.81E-11,8.92E-08,0,0.178695398
15,0.347534396,2.43E-05,0.065566226,4.37E-06,0.00106942,0,4.99E-08,0,0.319848028,7.53E-05,0.067815302,3.37E-05,3.92E-05,9.02E-12,5.02E-08,0,0.19798969
