generation,stra.1,stra.2,stra.3,stra.4,stra.5,stra.6,stra.7,stra.8,stra.9,stra.10,stra.11,stra.12,stra.13,stra.14,stra.15,stra.16,stra.17
initial,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529
0,0.119982148,0.093179039,0.07358161,0.055354907,0.100299771,0.048187112,0.031026028,0.010729213,0.116517092,0.085512509,0.064614838,0.050977542,0.055142419,0.01570729,0.008284335,0,0.070904148
1,0.178270601,0.092689417,0.07557575,0.038442012,0.113966042,0.015963197,0.009787397,0,0.171274419,0.079956319,0.065091398,0.03725192,0.039762167,0.002749484,0.001990365,0,0.077229511
2,0.229342363,0.074519697,0.074745087,0.024188174,0.106980557,0.00326947,0.003144335,0,0.218351833,0.063116527,0.06523235,0.025945545,0.026905918,6.11E-04,7.02E-04,0,0.082944417
3,0.273260812,0.052721463,0.0736224,0.014229315,0.090626654,5.76E-04,0.001106548,0,0.258367655,0.045588153,0.065487489,0.017331454,0.017565189,1.49E-04,2.88E-04,0,0.089079809
4,0.308390023,0.033804238,0.072675928,0.007938292,0.071366639,4.93E-05,4.22E-04,0,0.290159726,0.030860865,0.065937493,0.011195224,0.011177964,3.83E-05,1.30E-04,0,0.095853523
5,0.333815674,0.020015352,0.071817367,0.004242683,0.053141618,2.49E-06,1.70E-04,0,0.313053461,0.019839185,0.066425087,0.007038433,0.006968046,1.03E-05,6.29E-05,0,0.103397381
6,0.350240583,0.011139789,0.070961192,0.002195607,0.037927444,6.56E-08,7.07E-05,0,0.327759861,0.012259578,0.066895383,0.004342095,0.004277438,2.89E-06,3.18E-05,0,0.111895574
7,0.359308919,0.005922246,0.070041883,0.001110284,0.026239987,6.65E-10,2.99E-05,0,0.335796162,0.007359331,0.067319801,0.002647029,0.002597554,8.34E-07,1.66E-05,0,0.121609444
8,0.362373957,0.003044915,0.069918856,5.52E-04,0.017737276,0,1.28E-05,0,0.338380337,0.004324963,0.067603428,0.001602288,0.001564417,2.49E-07,8.88E-06,0,0.132875616
9,0.361658702,0.001540448,0.068722894,2.73E-04,0.011846334,0,5.50E-06,0,0.337542686,0.002519922,0.067873101,9.73E-04,9.43E-04,7.78E-08,4.90E-06,0,0.146096261
10,0.357694692,7.69E-04,0.067321961,1.35E-04,0.007828232,0,2.38E-06,0,0.333741158,0.001457513,0.068021508,5.92E-04,5.69E-04,2.55E-08,2.77E-06,0,0.161865546
11,0.350892935,3.79E-04,0.065646977,6.57E-05,0.005122394,0,1.03E-06,0,0.327334255,8.38E-04,0.067996985,3.62E-04,3.43E-04,8.74E-09,1.61E-06,0,0.181016299
12,0.341226768,1.85E-04,0.0636019,3.18E-05,0.003316612,0,4.45E-07,0,0.318281244,4.79E-04,0.067717044,2.22E-04,2.07E-04,3.15E-09,9.66E-07,0,0.204730961
13,0.328247331,8.85E-05,0.061047156,1.52E-05,0.002119658,0,1.91E-07,0,0.306153645,2.71E-04,0.067049027,1.37E-04,1.25E-04,1.21E-09,5.99E-07,0,0.234745467
14,0.311008996,4.16E-05,0.05777292,7.14E-06,0.001330608,0,8.13E-08,0,0.290063518,1.52E-04,0.065774803,8.49E-05,7.50E-05,4.97E-10,3.87E-07,0,0.273687587
15,0.287879339,1.90E-05,0.053455524,3.26E-06,8.13E-04,0,3.41E-08,0,0.268484793,8.42E-05,0.063525397,5.29E-05,4.49E-05,2.23E-10,2.63E-07,0,0.325637554
16,0.256215493,8.22E-06,0.047591596,1.41E-06,4.75E-04,0,1.39E-08,0,0.238950518,4.52E-05,0.059661612,3.30E-05,2.65E-05,1.12E-10,1.91E-07,0,0.396991434
17,0.212051255,3.26E-06,0.039434455,5.61E-07,2.55E-04,0,5.35E-09,0,0.197760481,2.30E-05,0.053081557,2.05E-05,1.52E-05,6.41E-11,1.51E-07,0,0.497354258
18,0.150936478,1.07E-06,0.028140822,1.85E-07,1.16E-04,0,1.84E-09,0,0.140763674,1.04E-05,0.042094318,1.23E-05,8.14E-06,4.37E-11,1.31E-07,0,0.63791663
19,0.075026956,2.21E-07,0.014070904,3.87E-08,3.47E-05,0,4.82E-10,0,0.069970089,3.60E-06,0.025479206,6.76E-06,3.67E-06,3.59E-11,1.28E-07,0,0.815403688
20,0.01274893,5.81E-09,0.002449694,1.14E-09,2.43E-06,0,6.39E-11,0,0.011889622,6.31E-07,0.007820363,2.94E-06,1.12E-06,3.43E-11,1.32E-07,0,0.965084127
21,1.99E-04,0,4.90E-05,3.72E-12,2.92E-09,0,8.01E-12,0,1.86E-04,8.31E-08,0.00118066,1.15E-06,2.87E-07,3.44E-11,1.34E-07,0,0.998383356
