name,stra.1,stra.2,stra.3,stra.4,stra.5,stra.6,stra.7,stra.8,stra.9,stra.10,stra.11,stra.12,stra.13,stra.14,stra.15,stra.16,stra.17
initial,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529
0,0.120552594,0.093374022,0.072983272,0.054455598,0.099519991,0.045475893,0.027919351,0.007070825,0.118183611,0.088353106,0.066238037,0.05321583,0.054238522,0.016082157,0.008418924,0,0.073918268
1,0.175286677,0.091688658,0.073595308,0.037528689,0.109902565,0.014924576,0.008392715,0,0.170518392,0.083840399,0.066792218,0.040464237,0.039170695,0.00372636,0.002444599,0,0.081723914
2,0.223874274,0.074001133,0.071962422,0.023561613,0.102080169,0.003180736,0.002601937,0,0.216231299,0.068250962,0.066969724,0.029332016,0.026814735,0.001019958,9.57E-04,0,0.08916174
3,0.26588509,0.052766321,0.070264,0.013856466,0.08593325,4.60E-04,8.87E-04,0,0.255381918,0.050897476,0.06734399,0.020403709,0.017784919,3.00E-04,4.29E-04,0,0.097406686
4,0.299513042,0.034067063,0.068816664,0.007715088,0.067373386,4.36E-05,3.29E-04,0,0.286537158,0.035420961,0.067870958,0.013670198,0.011500919,9.19E-05,2.10E-04,0,0.106840485
5,0.323581159,0.020228449,0.067520738,0.004102096,0.049916242,2.48E-06,1.29E-04,0,0.308720641,0.023278776,0.068442115,0.008880036,0.007283775,2.92E-05,1.09E-04,0,0.117775759
6,0.338343345,0.011219457,0.066228191,0.002101804,0.035358265,7.35E-08,5.27E-05,0,0.322224473,0.014612511,0.068971002,0.005638557,0.004538236,9.61E-06,5.97E-05,0,0.130642095
7,0.345080634,0.005900022,0.064815935,0.001046286,0.02418901,7.67E-10,2.19E-05,0,0.328259953,0.008854942,0.069394471,0.00352764,0.002793839,3.28E-06,3.39E-05,0,0.1460782
8,0.34530015,0.002985254,0.063143375,5.10E-04,0.01613731,0,9.19E-06,0,0.328227763,0.005229444,0.069571738,0.002188697,0.001706231,1.17E-06,1.99E-05,0,0.164969884
9,0.339976369,0.00147482,0.061171921,2.46E-04,0.010564623,0,3.90E-06,0,0.323020317,0.003048846,0.069568146,0.001363739,0.001043131,4.45E-07,1.22E-05,0,0.188505492
10,0.329402307,0.001195236,0.058634878,1.17E-04,0.006788031,0,1.65E-06,0,0.312884558,0.00175273,0.069084897,8.52E-04,6.36E-04,1.81E-07,7.81E-06,0,0.218642116
11,0.313494389,5.62E-04,0.055442204,5.46E-05,0.004270266,0,6.98E-07,0,0.297721127,9.95E-04,0.068043281,5.36E-04,3.88E-04,7.98E-08,5.24E-06,0,0.258486296
12,0.290323354,2.55E-04,0.05115262,2.46E-05,0.002602244,0,2.91E-07,0,0.275684644,5.54E-04,0.065923097,3.40E-04,2.35E-04,3.87E-08,3.74E-06,0,0.312901311
13,0.256868531,1.09E-04,0.045175723,1.05E-05,0.001504487,0,1.18E-07,0,0.243898795,2.98E-04,0.06192304,2.16E-04,1.41E-04,2.12E-08,2.87E-06,0,0.389851959
14,0.208229372,4.18E-05,0.036613828,4.02E-06,7.87E-04,0,4.46E-08,0,0.19770584,1.51E-04,0.054588761,1.36E-04,8.13E-05,1.34E-08,2.42E-06,0,0.501658732
15,0.139207519,1.25E-05,0.024521125,1.21E-06,3.31E-04,0,1.46E-08,0,0.132167619,6.56E-05,0.041659776,8.26E-05,4.30E-05,1.02E-08,2.27E-06,0,0.661905924
16,0.056599578,1.91E-06,0.010034762,1.87E-07,7.74E-05,0,3.34E-09,0,0.053735662,1.98E-05,0.022170777,4.41E-05,1.81E-05,9.28E-09,2.36E-06,0,0.857295262
17,0.005173363,0,9.54E-04,5.35E-10,2.07E-06,0,4.00E-10,0,0.004911348,2.92E-06,0.005250872,1.85E-05,5.09E-06,9.34E-09,2.50E-06,0,0.983678874
18,2.54E-05,0,8.01E-06,2.82E-12,0,0,5.13E-11,0,2.34E-05,3.79E-07,7.42E-04,7.22E-06,1.29E-06,0.001002518,2.52E-06,0,0.998187384
19,3.84E-09,0,2.89E-08,2.19E-14,0,0,6.70E-12,0,0,4.93E-08,1.00E-04,2.79E-06,3.25E-07,9.99E-04,2.52E-06,0,0.998894947
20,5.75E-13,0,1.04E-10,1.71E-16,0,0,8.73E-13,0,0,6.41E-09,1.35E-05,1.08E-06,8.17E-08,9.95E-04,2.52E-06,0,0.998987942
21,8.58E-17,0,3.76E-13,1.34E-18,0,0,1.14E-13,0,0,8.33E-10,1.82E-06,4.18E-07,2.06E-08,9.90E-04,2.52E-06,0,0.999004836
22,1.27E-20,0,1.36E-15,1.04E-20,0,0,1.48E-14,0,0,1.08E-10,2.45E-07,1.62E-07,5.17E-09,9.86E-04,2.52E-06,0,0.999011175
23,1.88E-24,0,4.90E-18,8.16E-23,0,0,1.93E-15,0,0,1.41E-11,3.30E-08,6.25E-08,1.30E-09,9.81E-04,2.52E-06,0,0.999015964
24,5.59E-28,0,1.73E-20,6.31E-25,0,0,2.50E-16,0,0,1.82E-12,4.43E-09,2.41E-08,3.26E-10,0.001968266,2.52E-06,0,0.998029189
25,1.65E-31,0,6.11E-23,4.89E-27,0,0,3.25E-17,0,0,2.36E-13,5.95E-10,9.33E-09,8.19E-11,0.001958139,2.51E-06,0,0.998039338
26,4.86E-35,0,2.16E-25,3.78E-29,0,0,4.21E-18,0,0,3.07E-14,8.00E-11,3.60E-09,2.06E-11,0.001948077,2.51E-06,0,0.998049409
27,1.42E-38,0,7.66E-28,2.93E-31,0,0,5.47E-19,0,0,3.98E-15,1.08E-11,1.39E-09,5.17E-12,0.001938078,2.51E-06,0,0.998059413
28,4.13E-42,0,2.71E-30,2.27E-33,0,0,7.09E-20,0,0,5.17E-16,1.45E-12,5.39E-10,1.30E-12,0.001928143,2.50E-06,0,0.998069352
29,1.20E-45,0,9.59E-33,1.76E-35,0,0,9.20E-21,0,0,6.71E-17,1.95E-13,2.08E-10,3.26E-13,0.00191827,2.50E-06,0,0.998079228
30,3.45E-49,0,3.40E-35,1.36E-37,0,0,1.19E-21,0,0,8.71E-18,2.62E-14,8.05E-11,8.19E-14,0.00190846,2.50E-06,0,0.998089041
31,9.88E-53,0,1.20E-37,1.06E-39,0,0,1.55E-22,0,0,1.13E-18,3.52E-15,3.11E-11,2.06E-14,0.001898711,2.50E-06,0,0.998098792
32,2.82E-56,0,4.26E-40,8.18E-42,0,0,2.01E-23,0,0,1.47E-19,4.74E-16,1.20E-11,5.17E-15,0.001889023,2.49E-06,0,0.998108482
33,7.99E-60,0,1.51E-42,6.34E-44,0,0,2.61E-24,0,0,1.91E-20,6.37E-17,4.65E-12,1.30E-15,0.001879397,2.49E-06,0,0.998118112
34,2.26E-63,0,5.35E-45,4.91E-46,0,0,3.39E-25,0,0,2.47E-21,8.57E-18,1.80E-12,3.26E-16,0.00186983,2.49E-06,0,0.998127681
35,6.33E-67,0,1.90E-47,3.81E-48,0,0,4.40E-26,0,0,3.21E-22,1.15E-18,6.95E-13,8.19E-17,0.001860324,2.49E-06,0,0.99813719
36,4.66E-07,0,7.07E-50,2.74E-50,0,0,5.68E-27,0,0,4.15E-23,1.55E-19,2.68E-13,2.05E-17,0.001846371,2.48E-06,0,0.998150685
37,1.29E-10,0,2.51E-52,2.13E-52,0,0,7.37E-28,0,0,5.39E-24,2.09E-20,1.04E-13,5.15E-18,0.001837009,2.48E-06,0,0.998160514
38,3.56E-14,0,8.90E-55,1.65E-54,0,0,9.56E-29,0,0,6.99E-25,2.81E-21,4.01E-14,1.29E-18,0.001827707,2.47E-06,0,0.998169819
39,9.77E-18,0,3.16E-57,1.28E-56,0,0,1.24E-29,0,0,9.08E-26,3.77E-22,1.55E-14,3.25E-19,0.001818462,2.47E-06,0,0.998179066
40,2.67E-21,0,1.12E-59,9.92E-59,0,0,1.61E-30,0,0,1.18E-26,5.08E-23,5.99E-15,8.17E-20,0.001809274,2.47E-06,0,0.998188257
41,7.25E-25,0,3.98E-62,7.69E-61,0,0,2.09E-31,0,0,1.53E-27,6.83E-24,2.31E-15,2.05E-20,0.001800143,2.47E-06,0,0.99819739
42,1.96E-28,0,1.41E-64,5.97E-63,0,0,2.72E-32,0,0,1.99E-28,9.19E-25,8.95E-16,5.15E-21,0.001791068,2.46E-06,0,0.998206467
43,5.27E-32,0,5.01E-67,4.63E-65,0,0,3.53E-33,0,0,2.58E-29,1.24E-25,3.46E-16,1.29E-21,0.001782049,2.46E-06,0,0.998215489
44,1.41E-35,0,1.78E-69,3.59E-67,0,0,4.58E-34,0,0,3.35E-30,1.66E-26,1.34E-16,3.25E-22,0.001773085,2.46E-06,0,0.998224455
45,3.75E-39,0,6.32E-72,2.78E-69,0,0,5.95E-35,0,0,4.35E-31,2.24E-27,5.17E-17,8.17E-23,0.001764176,2.46E-06,0,0.998233366
46,9.93E-43,0,2.25E-74,2.16E-71,0,0,7.72E-36,0,0,5.64E-32,3.01E-28,2.00E-17,2.05E-23,0.001755322,2.46E-06,0,0.998242222
47,2.62E-46,0,7.98E-77,1.68E-73,0,0,1.00E-36,0,0,7.33E-33,4.05E-29,7.73E-18,5.16E-24,0.001746522,2.45E-06,0,0.998251025
48,6.86E-50,0,2.83E-79,1.30E-75,0,0,1.30E-37,0,0,9.51E-34,5.44E-30,2.99E-18,1.30E-24,0.001737775,2.45E-06,0,0.998259774
49,1.79E-53,0,1.01E-81,1.01E-77,0,0,1.69E-38,0,0,1.24E-34,7.33E-31,1.16E-18,3.26E-25,0.001729082,2.45E-06,0,0.99826847
50,4.65E-57,0,3.58E-84,7.83E-80,0,0,2.20E-39,0,0,1.60E-35,9.86E-32,4.47E-19,8.18E-26,0.001720441,2.45E-06,0,0.998277112
